score,review
5,원래 평 잘 안 남기는데 아랫분 보고 같이 남깁니다. 포장주문했는데 가게 앞에 화분들 있는 게 딱 봐도 새로 여신 거. 사장님 엄청 친절하시고 치킨도 맛있음. 2.2점인 것만 보고 사람들이 ㅆㄹㄱ 지점인 줄 알까봐 걱정. 사장님 바뀐 듯하니 마음껏 주문 ㄱㄱ.
5,어제 방문 포장했는데요 이전평이 안좋아서 걱정했는데 사장님이 바뀌신거 같더라고요 사장님 너무 친절하시고 좋으셨어요 소스도 좀 좋은가격으로 주시고..!중요한건 치킨도 너무 맛있었어요.. 사장님 번창하시길...!
5,기프티콘 써야해서 가까운 곳으로 방문포장했 는데 배민하고 평이 다르길래 걱정했는데 보니까 주인 바뀌고 오늘 새로 오픈했다고 떡도 받음ㅎㅎ 주인 아저씨 친절했고 무엇보다 첫날이라서 그런지 치킨이 너무 잘 튀겨져서 맛있다!
5,뿌링클맛있어요
1,
1,치킨 시켰는데 닭잡아오는줄.. 기다리다 지쳐 땡벌
1,e쿠폰 쓰면 주문취소요
3,
1,사장 인성이..
1,진짜 맛없음;; 요청사항도 무시함...
5,가성비 짱입니다 특히 통닭맛은 최고 사장님 친절하시고 좋네요
1,테이크아웃인데도 사장이 안 친절하게 느껴져요 
1,주인장의 글러먹은 인성덕에 닭 맛도 쓰레기가 되버리는 집
5,
5,맛있는 통닭입니다. 가격 12000원에 두마리나. 기본과 본질에 충실. 아래 친절 운운...글쎄요. 그날 알바생이 몸이 안 좋았나보네요.
5,혼밥 자취러에게 최고 가성비 반마리 판매는 신의 한수 이정도 가성비면 단점도 없어지게 된다
5,가성비쩔어.. 자취생한테 최고임 맛잇음
1,절대 배달시켜 드시지 마세요. 주문한지 1시간 20분 되어 도착했네요.  40분에 출발했다더니 5분거리 위치를 여러군데 빙빙 돌리는가 다 식어 말라비틀어진 치킨이 도착했습니다. 
5,가성비 최고임 기본소스랑 치킨 무도 기본으로 줘요.... 그리고 와시비 마요 소스 진심 존맛
5,간장치킨 뿌링치즈 두가지 먹어봤는데 계속 먹고싶은맛 주방장을 고문해서 계속 치킨만 만들게하고싶다
5,"가성비, 맛, 서비스 다 좋음"
5,가성비 최고
5,싸고 맛있어요 역시 치킨은 바로먹어야 제맛
4,포장해가면 엄청 싸서... 더 필요한거 말씀드리면 더 챙겨주려고도 하셔서 좋았음. 현금결제하면 감튀도 서비스로 줌
5,여기다. 이집이야. 최고다.
4,테이크아웃 3000원 할인 싸고 맛있음. 근데 감튀가 식으니까 좀 냄새나서 별하나뺌 차피 서비스로 받은거
5,배민으로 시켜먹어봤는데 현장 서비스는 몰라도 맛이랑 배달속도 바삭함은 ㅇㅈ합니다
1,일단 사람이 앞에 있는데 전화만 하시고 주문을 안받아줘요 
5,"음식 맛있고 가격 착하고 사장님 친절합니다.  생일이라고 서비스로 주심 김밥, 만두튀김 맛있고 감사합니다.^^"
1,
1,소주값 눈탱이쳐요. 좀 취해보인다고 바로 눈탱이 ㅋㅋ 친절하게 웃으면서 눈탱이 쳐서 친절하게 저도 웃으면서 계산 했습니다. 번창하세요
1,"양도 적고, 가성비 꽝"
2,양이 넘 작았어요. 두명에서 1마리 시키고 남긴적은 있지만 두명에서 2마리 시킨거 어제 처음이었습니다. 맛은 있었습니다. 특히 양념치킨
5,"사장님, 일하는 여자 알바생 모두 친절하시고 음식도 맛있고 저렴하네요"
2,역시 리뷰 말이 맞음  남자알바 싸가지 없음 리뷰가 한 2년동안 꾸준한거같은데 사장은 왜 안자르나 모르겟음.. 치킨은 낫배드 그래서 2점임
1,기분나빠서 리뷰쓰러 왔는데 역시가 역시네 ㅋㅋㅋ 에효~ 리뷰는 사이언스
4,블랙페퍼치킨  뭔가 어디서 먹어본것만 같은데 안먹어본거같은 맛 아마 후추맛때문인가 같음 
1,남자알바 싸가지 ㅋㅋㅋ
1,"홀 남자직원분 왜그렇게 고압적인 태도로 손님 응대하시는지? 먹으러 온게 마치 대단히 기분 나쁘다는 식으로 퉁명스럽게 대하시네요? 괜히 가서 시키고 기분만 잡치고 왔네요 다신 안갈듯 그리고 이거 별점 1개를 꼭 줘야 리뷰를 쓸 수가 있어서 1개를 어쩔 수 없이 주는데, 대단히 1개도 아까운 곳이에요 쯧"
1,빈 자리 차고 넘치는데 굳이 좁은 자리에 앉으라고 강요. 테이블도 못 붙이게 함 ㅎㅎ 기분 상하고 싶지 않으면 굳이 갈 필요 없을 듯.. 앉아서 조금이라도 지체하면 주문하라고 쪼아댐. 메뉴 고르는 걸 못 기다리는 듯(빨리 시키고 빨리 먹고 빨리 꺼지라는 느낌)
2,"메뉴판의 BEST 메뉴인 베이크 치킨이 그닥.. 생맥주 맛도 그닥.. 테이블 간 간격도 좁고, 두번은 안가도 될 가게"
1,점심에 여기 절대 가지 마세요... 손님들이 마스크 안쓰고 음식퍼고 음식에 재채기하고 장난아닙니다.. 감독도 안하고 멀뚱멀뚱 보기만한 직원들... 4단계 맞는지 의심되네요
1,장사 이렇게 하는거 아니다
1,종업원이 엄청 불친절하네요 가만히 주문하는데도  따지듯 묻고 손님이랑 기싸움해요 ㅠㅠ 치킨도 너무 덩어리가 커서 먹기 불편해요
1,치킨에서 냄새나요.... 말하려다가 걍 대충먹고나옴
1,기름이 오래됐네요.. 별로에요
1,
2,내 취향 아님
5,닭이 아주 부드럽고 맛있다. 열무 피클도 좋음
2,코로나 
5,
5,"파스타가 메인인 것 같고, 가격 굉장히 싸요. 분위기가 2~3만원 할 거 같은데, 제일 싼 오일파스타가 6500원임. 가성비 미쳤어요. 음식 나오는 속도가 좀 느리긴 함"
2,음식 나쁘지 않은데 매장 브금으로 이수 노래 주구장창 나옴...
4,좀 늦게 나오는 거 빼고 좋아요
1,불친절
4,갈비맛 추천 맛있어요
4,역삼동 5년 살면서 오며 가며 자주 본 가게 굽네 치킨은 예전 군자동 살 때 그기서 맛나게 사다 먹은 기억 있고요. 배달앱 쓰는거 싫어라 해서 전화하고 가져다가 먹음에요. 고추바사삭으로 주문했고요. 예전에도 이것 먹은 기억인데. 들고 오느라 조금 식었지만. 맛있게 먹었답니다
2,감자튀김 재사용인가요.. 타기도 했고.. 감자가 돌덩이 인걸보니 재탕같네요..  감다튀김은 다 버렸습니다.. 
5,사장님 짱착한데 뭔솔... 평타이상입니다
1,중국인이 하는 가게인데 엄청 불친절함
5,엄청맛이쭘 밑에 평 안좋게 쓴게 이해 안될 정도임
5,뿌링클은 여기서시켜야됨
5,뿌링클 양념 대박많이주심 홍수날지경 최고에요
1,전화 배달 모두 불친절 치킨 맛도 다른 BHC에 비해 그닥...
5,직접 찾으러가면 콜라 사이즈업도 해주고 매장도 깔끔하게 관리하시더라구요~ 무엇보다 엄청 친절하셨어요^^ 항상 자주 이용하고 있는 매장이예요~
5,"이런 댓글 처음 다네요. 주문 받으실 때부터 참 친절하시고, 배달도 빨랐어요. 무엇보다 기름을 깨끗하게 관리하시는것 같고, 위생장갑 챙겨주시는 센스까지! 넘나 감동입니다. :)"
5,직원분도 엄청 친절하시구 매장도 엄청 깨끗해요! 3번째 사먹는데 엄청 잘 먹고있습니다~!
1,0점주고싶은거 1점이 최소라서 1점줌 순살 치킨 시켰는데 집에서 치킨너겟 구어먹는게 더 맛있을즛;; 편의점 치킨보다 맛없음;;; 여기 가지마세요 튀긴지 오래된 치킨을 다시 데우기만해서 준듯 엄청 퍽퍽하고 튀김이 괴에에엥장히 두꺼움 한두입먹고 도저히 못먹겠다 싶어서 안먹고 나옴 입맛만 배렸네요~ 한두번 이랬던건 아닌거 같고 밑에 후기들보니까 이런적이 한두번이...
1,손님에 대한 기본 매너가 없는 사장. 사장부터 교육을 받아야 함.
3,
1,맛이 없음 순살시켰는데 치킨너겟나옴  맥날가서 치킨너겟사드세요
1,음악소리 너무 커서 대화못함 줄여주지도 않음
5,여기 완젼  존맛탱ㅋ 매드후라이치킨 처음가본곳인데 치킨도 맛있고 감바스랑 골뱅이랑 국물 떡볶이까지ㅠㅠ 눈물나게 맛있어요 매장인테리어도 넘 고급스럽고~ 여자셋이가서 저만큼 시켜서 다 먹었어요 수제맥주도 완젼 꿀맛입니다 선릉역 7번출구에서 가깝고 자주갈듯ㅋ 매드후라이치킨 짱입니당: )
5,직장동료들과  2차로가서  후라이드와 순살치킨을 먹었는데 바삭하고  맛있었네요.
4,안심 순살 후라이드 JMTGR  근데 소스 추가 유료라는 건 좀 별루예요 아무튼 안심 순살 너무 맛있어 ㅎㅎㅎ
1,장사하기싫어요? 종업원? 2시 30분까지 무조건 짐 싸서 나가라고하네요ㅋㅋㅋㅋ 한시에갔는데 사장이라면 가게접어야하고 종업원이면 가게 참 잘 돌아가네요^^!
1,오늘 저녁 카운터 보신 분은 장사할 생각 없죠? ㅋ  선릉역점은 거릅니다.
5,So good!
1,주인 ♩♪♩ 싸가지없음 ㅋㅋㅋ
1,
5,가성비 극강
1,불-친절
5,
1,카카오 기프티콘 안받고 손님들어왔는데 개 띠꺼운말투로 싸우고있음 장사할 생각 없는듯
1,진지하게 조리실력이 너무 떨어진다.. 닭에 수분기가 하나도 없는게 미리 해놓은걸 주나싶음 배달앱 근처 주문량 1순위던데 사장님이 바뀌었나요ㅋㅋ
5,"배달 전문점이라서 큰 기대 없이 포장 방문하러 갔는데 직원분(외국분)이 서툰 우리말로 친절히 맞아주셨고, 다른 배달원 분들 때문에 정신없는데도 개인 주문 기억한다며 잘 확인해주셔서 감사했습니다. 맛은 달리 평가할것 없이 좋았습니다."
1,떡도 너무 적고 탓어요 ㅠ
3,"순살양념+떡사리 추가 20,500 맛있긴 한데 대기가 너무 김 ㅠㅠ  떡사리도 맛나고 치맥은 물론 치밥하기 좋음! :-) "
5,맛있어요! 숨어있어서 아는사람만 아는 단골집느낌~살짝 좁긴하지만 사장님 너무 친절하시고 맛있어요! 강남에 치킨맛집이 없는데 나만 알고싶은 강남치킨집이였어요:)퇴근 후 치킨에 얼음맥주로 피로랑 더위가 바로 갔어요~ 또 가려고욤 ㅎㅎ #옥수수후라이드#갈릭간장치킨#로제떡볶기#치즈볼
4,
5,
5,
5,"밑에 리뷰달아주신 아렌트님, 우선 리뷰감사드립니다. 해당 알바생은 타국에서 왔기때문에 한국서비스마인드와 좀 달라 평소에도 쓴소리를 많이 들었던 알바생이었습니다. 계속 교육을 많이 시켰었고, 현재는 나오지않습니다. 그때와는 많이 달라졌습니다  포크도 많이 준비했구요 다음에 또 찾아주세요^^"
