score,review
5,굽네 볼케이노 질리인데~여의도점 너무 맛있네요~ㅋㅋㅋ솔직히 집앞보다 맛있어서 일끝나고 자주 먹고가요~굿굿
5,한강근처에선 굽네!! 최애치킨~~
5,여자친구랑 여의도 한강갔다가 시켜먹었는데 배달도 빠르고 여자친구가 굽네볼케이노 좋아하는데 맛있었어요
5,지금까지 이런 치킨집은 없었다! 회사 근처에서 자주 치맥회식하는데 굽네치킨이 제일 맛있고 분위기 좋네요 최고!
5,"굽네치킨은 언제 먹어도 맛있네요 ~~ 특히 여자친구가 고추 바사삭을 좋아해서 자주 주문해서 먹는데, 여의도1호점이 배달이 제일 빨라서 좋아요 ㅎㅎ"
1,진짜 최악중에 최악입니다.  이런 리뷰 진짜 안 남기는데 제가 살면서 주문한 집 중 최악이에요. 주문 받는것도 10분 걸리더니 50분 있다가 온다고 하면서 정.확.하.게. 100분 걸렸네요^^ 50분부터 계속 3-5분만 기다리라고 하고^^ 그러고 처음 주문할때 카드결제로 시켰는데 와서는 카드결제기가 고장났다고 하네요^^ 엄연한 소비자기만을 일삼는 이런 파렴...
1,진짜 별로... 전화상으로 주문했는데 불친절하고 퉁명스럽고 비닐봉투에 안넣어주는건 기본이고 열어보니 소스랑 작은콜라캔도 넣어주지않음 (다른 후기보고 종이컵. 젓가락. 물티슈 챙겨달라고 말햇음) 전화하니 소스 다시 준다했지만 다음배달에 같이 갓다준다고 반절먹은 후에야 받음 (뼈있는 고추바사삭 1000원 올라서 17000원이라는것도 이제 안믿겨짐)
5,친절하고 떡볶이가 맛있어요
5,브삭브삭 (바삭바삭)
1,라볶이 쉰내남
5,현미 치킨정말 바삭하고 다시먹고싶은맛^# 치맥하기정말좋은곳    여의도를가면  꼭들르는곳  
5,한강에서 먹었는데 바삭하고 배달도 빨랐어요
